base,target,kind,a_idx,a_size,b_idx,b_size
US,JP,changed-same-index,559,114580,559,114580
US,JP,changed-same-index,564,229432,564,229432
US,JP,changed-same-index,565,13676,565,13676
US,JP,changed-same-index,579,229396,579,229396
US,JP,changed-same-index,580,60404,580,60404
US,JP,identical,202,48032,202,48032
US,JP,identical,203,229396,203,229396
US,JP,identical,204,403400,204,403400
US,JP,identical,205,45072,205,45072
US,JP,identical,206,229396,206,229396
US,JP,identical,207,426012,207,426012
US,JP,identical,208,47268,208,47268
US,JP,identical,209,229432,209,229432
US,JP,identical,210,406936,210,406936
US,JP,identical,211,45492,211,45492
US,JP,identical,212,229396,212,229396
US,JP,identical,213,426332,213,426332
US,JP,identical,214,44096,214,44096
US,JP,identical,217,458808,217,458808
US,JP,identical,219,32788,219,32788
US,JP,identical,220,9568,220,9568
US,JP,identical,242,24064,242,24064
US,JP,identical,243,22392,243,22392
US,JP,identical,244,20576,244,20576
US,JP,identical,245,18236,245,18236
US,JP,identical,246,20540,246,20540
US,JP,identical,247,24496,247,24496
US,JP,identical,248,15436,248,15436
US,JP,identical,249,23652,249,23652
US,JP,identical,250,21164,250,21164
US,JP,identical,251,17228,251,17228
US,JP,identical,252,18248,252,18248
US,JP,identical,253,23344,253,23344
US,JP,identical,254,20472,254,20472
US,JP,identical,255,13668,255,13668
US,JP,identical,257,41872,257,41872
US,JP,identical,308,31244,308,31244
US,JP,identical,309,28356,309,28356
US,JP,identical,310,24928,310,24928
US,JP,identical,311,21784,311,21784
US,JP,identical,312,26476,312,26476
US,JP,identical,313,29616,313,29616
US,JP,identical,314,20036,314,20036
US,JP,identical,315,29168,315,29168
US,JP,identical,316,26004,316,26004
US,JP,identical,317,22848,317,22848
US,JP,identical,318,23340,318,23340
US,JP,identical,319,29264,319,29264
US,JP,identical,320,27128,320,27128
US,JP,identical,321,21260,321,21260
US,JP,identical,323,58832,323,58832
US,JP,identical,332,14464,332,14464
US,JP,identical,333,13980,333,13980
US,JP,identical,334,10912,334,10912
US,JP,identical,335,10164,335,10164
US,JP,identical,336,13752,336,13752
US,JP,identical,337,13932,337,13932
US,JP,identical,338,10740,338,10740
US,JP,identical,339,14440,339,14440
US,JP,identical,340,12672,340,12672
US,JP,identical,341,10352,341,10352
US,JP,identical,342,12084,342,12084
US,JP,identical,343,15280,343,15280
US,JP,identical,344,13700,344,13700
US,JP,identical,345,11088,345,11088
US,JP,identical,347,23488,347,23488
US,JP,identical,396,0,396,0
US,JP,identical,397,0,397,0
US,JP,identical,438,229432,438,229432
US,JP,identical,439,4880,439,4880
US,JP,identical,440,229396,440,229396
US,JP,identical,441,4880,441,4880
US,JP,identical,442,229432,442,229432
US,JP,identical,443,9116,443,9116
US,JP,identical,444,229396,444,229396
US,JP,identical,445,9116,445,9116
US,JP,identical,480,69632,480,69632
US,JP,identical,498,2500608,498,2500608
US,JP,identical,499,2519040,499,2519040
US,JP,identical,500,2512896,500,2512896
US,JP,identical,501,2519040,501,2519040
US,JP,identical,502,2519040,502,2519040
US,JP,identical,503,2519040,503,2519040
US,JP,identical,504,2519040,504,2519040
US,JP,identical,505,0,505,0
US,JP,identical,509,262164,509,262164
US,JP,identical,510,262164,510,262164
US,JP,identical,510,262164,511,262164
US,JP,identical,511,262164,510,262164
US,JP,identical,511,262164,511,262164
US,JP,identical,512,262164,512,262164
US,JP,identical,513,458808,513,458808
US,JP,identical,514,671140,514,671140
US,JP,identical,516,328420,516,328420
US,JP,identical,517,26456,517,26456
US,JP,identical,518,229396,518,229396
US,JP,identical,519,260592,519,260592
US,JP,identical,520,18588,520,18588
US,JP,identical,521,229432,521,229432
US,JP,identical,526,13416,526,13416
US,JP,identical,527,229432,527,229432
US,JP,identical,528,296584,528,296584
US,JP,identical,529,22296,529,22296
US,JP,identical,530,229396,530,229396
US,JP,identical,531,221096,531,221096
US,JP,identical,532,17556,532,17556
US,JP,identical,533,229396,533,229396
US,JP,identical,534,166892,534,166892
US,JP,identical,535,12408,535,12408
US,JP,identical,536,229432,536,229432
US,JP,identical,539,229432,539,229432
US,JP,identical,542,458808,542,458808
US,JP,identical,544,458808,544,458808
US,JP,identical,546,229432,546,229432
US,JP,identical,549,229396,549,229396
US,JP,identical,550,107796,550,107796
US,JP,identical,551,420,551,420
US,JP,identical,552,229432,552,229432
US,JP,identical,555,229396,555,229396
US,JP,identical,556,96448,556,96448
US,JP,identical,557,252,557,252
US,JP,identical,558,229432,558,229432
US,JP,identical,560,320,560,320
US,JP,identical,561,229396,561,229396
US,JP,identical,562,119468,562,119468
US,JP,identical,563,1072,563,1072
US,JP,identical,566,172,566,172
US,JP,identical,567,229396,567,229396
US,JP,identical,568,26396,568,26396
US,JP,identical,569,384,569,384
US,JP,identical,570,229432,570,229432
US,JP,identical,571,168744,571,168744
US,JP,identical,572,736,572,736
US,JP,identical,573,229396,573,229396
US,JP,identical,574,46932,574,46932
US,JP,identical,575,816,575,816
US,JP,identical,576,229432,576,229432
US,JP,identical,577,106604,577,106604
US,JP,identical,578,608,578,608
US,JP,identical,581,480,581,480
US,JP,identical,582,229432,582,229432
US,JP,identical,583,123520,583,123520
US,JP,identical,584,1100,584,1100
US,JP,identical,585,229396,585,229396
US,JP,identical,586,34924,586,34924
US,JP,identical,587,352,587,352
US,JP,identical,588,229432,588,229432
US,JP,identical,589,134100,589,134100
US,JP,identical,590,224,590,224
US,JP,identical,591,229396,591,229396
US,JP,identical,592,186372,592,186372
US,JP,identical,593,516,593,516
US,JP,identical,594,229432,594,229432
US,JP,identical,595,76700,595,76700
US,JP,identical,596,656,596,656
US,JP,identical,597,229396,597,229396
US,JP,identical,598,82280,598,82280
US,JP,identical,599,760,599,760
US,JP,identical,600,229432,600,229432
US,JP,identical,601,84544,601,84544
US,JP,identical,602,736,602,736
US,JP,identical,603,229396,603,229396
US,JP,identical,604,82832,604,82832
US,JP,identical,605,732,605,732
US,JP,identical,606,458808,606,458808
US,JP,identical,607,840,607,840
US,PAL,changed-same-index,201,421168,201,421168
US,PAL,changed-same-index,207,426012,207,426012
US,PAL,changed-same-index,209,229432,209,229432
US,PAL,changed-same-index,210,406936,210,406912
US,PAL,changed-same-index,211,45492,211,45492
US,PAL,changed-same-index,212,229396,212,229396
US,PAL,changed-same-index,213,426332,213,426308
US,PAL,changed-same-index,214,44096,214,44096
US,PAL,changed-same-index,215,458808,215,458808
US,PAL,changed-same-index,216,495716,216,495684
US,PAL,changed-same-index,218,896180,218,897496
US,PAL,changed-same-index,221,1328,221,1328
US,PAL,changed-same-index,222,5300,222,5424
US,PAL,changed-same-index,223,5564,223,5640
US,PAL,changed-same-index,224,3544,224,3700
US,PAL,changed-same-index,225,2828,225,2944
US,PAL,changed-same-index,226,44216,226,44216
US,PAL,changed-same-index,227,44344,227,44344
US,PAL,changed-same-index,228,34208,228,34208
US,PAL,changed-same-index,229,34388,229,34388
US,PAL,changed-same-index,230,44612,230,45784
US,PAL,changed-same-index,231,60248,231,60320
US,PAL,changed-same-index,232,40068,232,40224
US,PAL,changed-same-index,233,56844,233,57952
US,PAL,changed-same-index,234,11960,234,11820
US,PAL,changed-same-index,235,14428,235,14564
US,PAL,changed-same-index,236,14412,236,14576
US,PAL,changed-same-index,237,15432,237,15600
US,PAL,changed-same-index,238,15324,238,15488
US,PAL,changed-same-index,239,15932,239,16064
US,PAL,changed-same-index,240,15608,240,15748
US,PAL,changed-same-index,241,14940,241,15108
US,PAL,changed-same-index,242,24064,242,24064
US,PAL,changed-same-index,243,22392,243,22392
US,PAL,changed-same-index,244,20576,244,20576
US,PAL,changed-same-index,245,18236,245,18236
US,PAL,changed-same-index,246,20540,246,20540
US,PAL,changed-same-index,247,24496,247,24496
US,PAL,changed-same-index,248,15436,248,15436
US,PAL,changed-same-index,249,23652,249,23652
US,PAL,changed-same-index,250,21164,250,21164
US,PAL,changed-same-index,251,17228,251,17228
US,PAL,changed-same-index,252,18248,252,18248
US,PAL,changed-same-index,253,23344,253,23344
US,PAL,changed-same-index,254,20472,254,20472
US,PAL,changed-same-index,255,13668,255,13668
US,PAL,changed-same-index,256,21688,256,21316
US,PAL,changed-same-index,257,41872,257,41872
